text,text_hash,label,label_predicted,label_triggers,text_hash.1,label_count,label_predicted_count,label_count_matched
I break up with my girlfriend for sleep in bed with her ex.,1979651300,betrayal,care,supply synset-bed-noun-1,1979651300,1,1,0
I break up with my girlfriend who go and be go through abuse.,2633438639,harm,harm,synset-maltreatment-noun-1 abusing,2633438639,1,1,1
I break up with my so because of bodily change if I make it clear before.,2887129449,harm,harm,causeharm break_23020000 experiencebodilyharm,2887129449,1,1,1
I break up with the one I love because I don't want to hurt him anymore.,2239043862,harm,harm,causeharm synset-ache-verb-3 hurt_40081000 experiencebodilyharm,2239043862,1,1,1
"I break up with you base on bad and predatory advice, and you didn't fight me or recognize my crazy.",4028638083,subversion betrayal,harm,hostileencounter synset-contend-verb-6 synset-predatory-adjectivesatellite-2,4028638083,2,1,0
I bring up cheat rumor to my friend before his wedding without ALSO (or first) confront his fiancé.,206513242,betrayal,harm,synset-confront-verb-1 confront_98000000 hostileencounter,206513242,1,1,0
I burn down an entire wooded park and keep it a secret for nearly 10 years.,4010940992,betrayal harm,care harm oppression,synset-burn-verb-1 synset-keep-verb-1 experiencebodilyharm,4010940992,2,3,1
I buy my female friend a Christmas gift but not for the reason you think...,4057864844,harm,fairness,regard,4057864844,1,1,0
I buy myself an Xbox even though my girlfriend hat video game and doesn't want me buy one.,3203014692,harm betrayal,care,synset-hat-noun-1,3203014692,2,1,0
I call cps on a family member last night after they endanger the life of their child.,163520070,harm,loyalty,synset-member-noun-1,163520070,1,1,0
I call my friend a lazy btch after she refuse to wash the dish.,3207796271,cheating harm degradation subversion betrayal,care,synset-wash-verb-1 synset-dish-noun-1 grooming,3207796271,5,1,0
I call out an angry driver with my gf in the passenger seat.,2218530148,harm,care,supply synset-seat-noun-1,2218530148,1,1,0
I call out my parent about their bad parenting? my brother try to run away and I go off at them.,2213683702,harm,authority,synset-parent-noun-1,2213683702,1,1,0
I call police on neighbor for let their cat roam at night unattended in.,2824018396,harm subversion,care,synset-police-noun-1,2824018396,2,1,0
I call the cop on my Aunty for not feed her kid and have them clean the house at 11P.M on a school night.,1844585405,betrayal harm,care,synset-house-noun-1 synset-bull-noun-5 synset-feed-verb-1,1844585405,2,1,0
I call the cop on my boyfriend because of his questionable porn stash.,1943279995,cheating subversion,care,synset-bull-noun-5,1943279995,2,1,0
"I can feel myself become dependent on drinking, drug &amp; smoke but I can’t stop.",4175634050,harm,degradation care,synset-drug-noun-1,4175634050,1,2,0
I can not call or speak to people on the phone because when I am around 15.,3746699708,harm,care,synset-telephone-noun-1,3746699708,1,1,0
I can see my parent grow old in front of me and I feel guilty about not be able to do enough.,3903201365,harm,authority harm,synset-parent-noun-1 synset-front-noun-1,3903201365,1,2,1
I can't stop think about what happen or get work up over it.,2266699094,harm,fairness,regard,2266699094,1,1,0
"I can't study without the help of prescription drugs, and I am not sure I can give them up.",3662290967,harm,care,assistance synset-aid-noun-2,3662290967,1,1,0
I cant help get an urge to cut the side of my mouth whenever I am hold scissors.,1690704961,harm,care harm,causeharm synset-cut-verb-1 assistance synset-aid-noun-2 experiencebodilyharm,1690704961,1,2,1
I can’t find a will to live anymore. I have no willpower or strength leave in me.,151854660,harm,care,synset-detect-verb-1,151854660,1,1,0
I carry intestinal parasite for many year because I am too embarrassed to seek treatment.,3265405123,harm,care,synset-treatment-noun-1 cure,3265405123,1,1,0
I catch my mother sleep with our racist neighbor. What can and should I do?.,441785024,cheating betrayal,cheating care harm,causeharm synset-can-verb-1 synset-racist-noun-1 synset-mother-noun-1 preserving,441785024,2,3,1
I catch my so watching porn in the early morning and go through his phone when he finally go to bed.,321921984,harm betrayal,care,supply synset-telephone-noun-1 synset-bed-noun-1,321921984,2,1,0
I catfish people for money.. can I truly get in trouble for this?.,177084215,harm cheating,care harm,synset-can-verb-1 causeharm preserving,177084215,2,2,1
I change my clock setting to military time just so it’s a slight inconvenience to anyone that use my phone to check the time.,3679399722,cheating,care,synset-telephone-noun-1,3679399722,1,1,0
I cheat my on girlfriend with my best friend's girlfriend..,2033456444,cheating,cheating,cheat_59000100,2033456444,1,1,1
I cheat on my SO with a man and she find out because I am really dumb.,1046878151,betrayal,cheating care,synset-detect-verb-1 cheat_59000100,1046878151,1,2,0
"I cheat on my boyfriend, get pregnant from another man and now I want to get him back.",825564746,betrayal,cheating,cheat_59000100,825564746,1,1,0
I cheat on my girlfriend of 4 year and lie about it for 5 months.,3789428314,betrayal cheating,cheating,cheat_59000100,3789428314,2,1,1
I cheat on my long term girlfriend with a fat latina masseuse.,3046839909,cheating betrayal,cheating care,synset-masseuse-noun-1 cheat_59000100,3046839909,2,2,1
I cheat on my twin brother with his girlfriend. And I think now she is pregnant with my baby.,290595093,cheating,cheating,cheat_59000100,290595093,1,1,1
I choke myself 20+ time on the daily and I don't know how to stop.,3773044301,harm,harm,causeharm choke_40070000 experiencebodilyharm,3773044301,1,1,1
I choose not to participate in an well-anticipated band trip because I am prioritize grade and my mental health.,4261816503,cheating subversion,fairness,partiality,4261816503,2,1,0
I come to the party way to early the first time I have an intimate moment.,3515226720,subversion,loyalty,synset-intimate-adjectivesatellite-1 socialconnection,3515226720,1,1,0
I complain to the manager about a lady who cut in front of me in line but say she have a right to because she have a service dog.,2345676118,harm,harm,causeharm synset-cut-verb-1 synset-front-noun-1,2345676118,1,1,1
I complete a project so fast that the others in my group didn't get a piece of it.,3239320797,harm cheating,loyalty,synset-group-noun-1,3239320797,2,1,0
I consider break up with my bf because he ignore me for his autistic brother.,792402885,betrayal,fairness,regard,792402885,1,1,0
I consider break up with my boyfriend for something he say.,2245072268,harm betrayal,fairness,regard,2245072268,2,1,0
I consider end friendship for hide something from me when I specifically ask otherwise.,2068389907,betrayal,fairness,regard,2068389907,1,1,0
"I consider euthanizing our cat because he is gotten sick, and pet care in the US be outrageously expensive.",755705555,harm cheating,fairness care harm,euthanize_42010000 killing synset-care-noun-1 regard,755705555,2,3,1
I constantly burn all of my bridge and now I don’t know how to stop.,2388531669,harm betrayal,harm,synset-burn-verb-1 experiencebodilyharm,2388531669,2,1,1
"I constantly feel like a failure, especially to my parent and family.",1853364496,harm,authority,synset-parent-noun-1,1853364496,1,1,0
I could care less about Christmas and certainly don't want to have to see my family.,81927725,subversion,care,care_31030200,81927725,1,1,0
I create fake IDs for the sole purpose of return thing at Walmart all while look for a steady job.,3028427484,cheating subversion,harm,synset-exclusive-adjectivesatellite-1,3028427484,2,1,0
I create people I don't like in video game so I can beat them up.,3686471183,harm,harm,synset-beat-verb-1,3686471183,1,1,1
I cut contact with my mother until she cut contract with my abusive ex.,2789284357,harm betrayal degradation,fairness care harm,causeharm synset-cut-verb-1 synset-mother-noun-1 synset-contract-noun-1 experiencebodilyharm,2789284357,3,3,1
I cut my eyebrow into a slit so that it would scar and make myself look edgy.,725621633,harm,harm,synset-scar-verb-1 causeharm synset-cut-verb-1 synset-slit-noun-1 experiencebodilyharm,725621633,1,1,1
I cut myself again last night and can't tell my roommate about it.,314644373,harm,harm,causeharm synset-cut-verb-1 experiencebodilyharm,314644373,1,1,1
I cut off a former friend and advise current one to do the same.,3662026388,harm betrayal,harm,causeharm synset-cut-verb-1 experiencebodilyharm,3662026388,2,1,1
I cut off an acquaintance for what I consider dishonering his deceased wife.,409672589,harm,fairness harm,experiencebodilyharm causeharm synset-cut-verb-1 regard,409672589,1,2,1
I cut off my close friend because she hurt me mutiple time.,1917588783,harm,harm,causeharm synset-cut-verb-1 synset-ache-verb-3 hurt_40081000 experiencebodilyharm,1917588783,1,1,1
I cut out a family member that have a traumatic brain injury.,2618430980,harm betrayal,loyalty harm,causeharm synset-injury-noun-1 synset-cut-verb-1 synset-member-noun-1 experiencebodilyharm,2618430980,2,2,1
I cut people off because I feel they would be good off without me.,139204439,betrayal,harm,causeharm synset-cut-verb-1,139204439,1,1,0
I cut someone off after they break my tv while drunk and refuse to pay for it.,1371282401,harm degradation,harm,experiencebodilyharm causeharm synset-cut-verb-1 break_45010000,1371282401,2,1,1
I cut someone off even though I am drive like everyone else.,2317817214,harm subversion,harm,causeharm synset-cut-verb-1 experiencebodilyharm,2317817214,2,1,1
I deal with my trauma anniversary yesterday by drink to excess.,3856144231,harm,harm,synset-injury-noun-1,3856144231,1,1,1
I decide not to give a speech at graduation despite my parent's wish.,1433409732,harm,authority,synset-parent-noun-1,1433409732,1,1,0
I deliberately fail a medical test to get put on a less harsh treatment.,2908887541,harm cheating,care,synset-treatment-noun-1 cure,2908887541,2,1,0
I depress confession of a 17 yearold with a bad drug problem.,2613384570,subversion,degradation care,synset-drug-noun-1,2613384570,1,2,0
"I destroy a parking gate in a church lot and drive off, leave it lay on the ground.",3396738341,harm subversion,care loyalty harm,destroying synset-destroy-verb-1 supply synset-gate-noun-1 destroy_44000000 synset-batch-noun-2,3396738341,2,3,1
"I didn't celebrate Christmas and won't be celebrate New Year, but I am okay with that as long as I am with my family.",1616652404,subversion,loyalty,cometogether celebrate_33000000,1616652404,1,1,0
I didn't tip then send a complaint about a waiter who I get into a fight with in college.,1968971578,harm degradation cheating,care harm,synset-fight-noun-2 hostileencounter synset-ailment-noun-1 synset-waiter-noun-1,1968971578,3,2,1
I do a citizen's arrest on a possible illegal immigrant and confiscate his cash.,2153520355,harm betrayal,authority loyalty oppression,arrest synset-apprehension-noun-4 synset-citizen-noun-1,2153520355,2,3,0
I do lot of WPM type test while I am at work to make it seem like I am always really busy.,1642667758,betrayal,loyalty,synset-batch-noun-2,1642667758,1,1,0
I do my little brother's science homework and he end up get detention because one of the teacher think my answer be 'wrong'.,3826003037,cheating,fairness oppression,synset-detention-noun-1 regard detaining inhibitmovement,3826003037,1,2,0
I don't allow my young daughter to eat junk food but let my other kid eat it.,727653187,cheating,care,synset-food-noun-1,727653187,1,1,0
I don't be okay with my girlfriend stay cool with her guy friend who try to bang her.,298458708,betrayal,harm,synset-slam-verb-2,298458708,1,1,0
I don't defend a guy that be go to/being beat up on the street.,2825328043,harm,care harm,defend_85000000 synset-defend-verb-1 synset-beat-verb-1 defend,2825328043,1,2,1
I don't disclose my (kind of) oral herpes with my boyfriend.,2009142581,harm,betrayal,synset-unwrap-verb-2 revealsecret,2009142581,1,1,0
I don't feel bad after I open my car door into his car in a parking lot.,1945770139,harm,loyalty,synset-batch-noun-2,1945770139,1,1,0
I don't feel like I am worthy of be love or that I should ever find someone to be with romantically.,3305579347,harm,care,synset-detect-verb-1,3305579347,1,1,0
I don't give my lab partner the statistic from our experiment to include in her lab report.,3817152796,harm,loyalty,synset-spouse-noun-1,3817152796,1,1,0
I don't go back to my old job and potentially rely on my husband to support me while I job search.,2689016495,subversion,loyalty,takingsides,2689016495,1,1,0
I don't help my sister use the printer at 2am with sleep family and get mad at her.,3386711316,harm,care,synset-help-verb-1 help_72000100 assistance,3386711316,1,1,0
I don't know if I'll ever find happiness in a relationship.,1508709586,harm,care,synset-detect-verb-1,1508709586,1,1,0
"I don't know the difference between different type of music like classical, rock, pop, indie, metal etc. I just listen to whatever I like.",1797861621,harm,harm,synset-rock-noun-1 causeharm,1797861621,1,1,1
I don't leave with my mom to be with my die grandpa so I can work instead.,3120306607,harm betrayal,harm,death die_48020000 synset-die-verb-1,3120306607,2,1,1
"I don't lend my drug addict friend money, even when he say it is not for drug.",804264769,harm,degradation care,synset-drug-noun-1,804264769,1,2,0
I don't let a trans guy join me and my friends' all-girls dance group.,1392973939,harm,loyalty,synset-group-noun-1 synset-join-verb-1,1392973939,1,1,0
I don't let an acquaintance know that her boyfriend might be cheat on her.,3685489255,harm betrayal,cheating,cheat_59000100,3685489255,2,1,0
I don't let my husband use our cooking utensil for fish care.,2637829601,cheating,care,synset-care-noun-1,2637829601,1,1,0
I don't like the fact my mother pretend she do nothing wrong during my childhood.,2573475155,betrayal subversion,care,synset-mother-noun-1,2573475155,2,1,0
I don't put up with someone be extremely annoy and lash out at him for it.,3729332825,harm,harm,causeharm synset-flog-verb-1 lash_18010100,3729332825,1,1,1
I don't react well to my friend be pregnant for the the 3rd time and still live on state aid.,4135592086,harm cheating,care,synset-aid-noun-2,4135592086,2,1,0
I don't support a friend with a Manipulative Codependent Girlfriend.,1248205029,subversion,loyalty,takingsides,1248205029,1,1,0
I don't take selfies or pose in photo with anyone anymore because I hate how I look now.,1914642241,harm,harm,synset-hate-verb-1 hate_31020100,1914642241,1,1,1
I don't tell my boyfriend I sleep with our coworker before I meet my boyfriend.,1615141980,betrayal,loyalty,cometogether,1615141980,1,1,0
I don't tell my now ex-girlfriend that I have a vasectomy long before we meet.,1004018611,cheating,loyalty,cometogether,1004018611,1,1,0
I don't tell my partner if I am to sell picture of my foot online.,4151580436,cheating,loyalty,synset-spouse-noun-1,4151580436,1,1,0
"I don't think I am a sociopath or psychopath. Apparently, others do..",1163073608,harm,fairness,regard,1163073608,1,1,0
I don't think I am capable of connect with other people in an intimate way.,3651738245,betrayal,fairness loyalty,synset-intimate-adjectivesatellite-1 socialconnection regard,3651738245,1,2,0
I don't think I am go to be able to get my master's degree and I don't know how to tell my folk.,263528579,harm betrayal,fairness,regard,263528579,2,1,0
I don't think I will ever get over my first love. I still love him and want no one else. Its be years.,354886454,harm,fairness,regard,354886454,1,1,0
"I don't think marriage be for me, but I am already married.",1542329422,betrayal,fairness,regard,1542329422,1,1,0
I don't want government to support curing of disease such as SMA.,268310358,harm,authority loyalty,takingsides synset-government-noun-1,268310358,1,2,0
I don't want my girlfriend to go to dinner with another guy.,2274432408,betrayal,care,synset-dinner-noun-1,2274432408,1,1,0
I don't want my mother to ruin my day talk about my idiot father.,4055570216,betrayal subversion,care harm,destroying synset-mother-noun-1 synset-destroy-verb-2 ruin_44000000,4055570216,2,2,0
I don't want to choose between my gender expression and my boyfriend.,1661868354,harm,fairness,partiality,1661868354,1,1,0
I don't want to feel this way but can not help but hope Iran will attack an American asset to spark the war between the two country.,254029621,harm,care harm,synset-attack-verb-1 attack synset-war-noun-1 assistance help_72000100 attack_33000000 synset-help-verb-1,254029621,1,2,1
I don't want to give my ex-roommate half of the portion of the deposit we get back because she cause the majority of the damage in our apartment.,3037279246,cheating degradation,loyalty,synset-majority-noun-1,3037279246,2,1,0
I don't want to give my father last of my saving so he can spend it on my grandfather's care.,4103020713,cheating,care,synset-care-noun-1,4103020713,1,1,0
I don't want to help my ex wife out more monetarily or with extra time now that our son have a time consume medical condition.,805055926,subversion,care,synset-help-verb-1 help_72000100 assistance,805055926,1,1,0
I don't want to help my struggle ex and feeling satisfy that she is struggle.,711859156,harm,care harm,synset-struggle-noun-1 synset-help-verb-1 help_72000100 assistance,711859156,1,2,1
I don't want to let my dog's previous owner take him for a walk out of fear he might try to steal him back.,3904316813,harm,harm,synset-fear-noun-1,3904316813,1,1,1
I don't want to reconnect with my last living family member.,2374309323,subversion,loyalty,synset-member-noun-1,2374309323,1,1,0
I don't want to stay after school with my group to finish a project.,1102452855,cheating,loyalty,synset-group-noun-1,1102452855,1,1,0
I don't want to stay longer at my mom's friend house because they weren't give out Red Packets for Chinese New Year this year.,335097012,cheating betrayal,care,synset-house-noun-1,335097012,2,1,0
I don't willing to pay my friend for take care of me when I am high.,798431052,harm,care,synset-care-noun-1,798431052,1,1,0
"I donate a microwave that leak microwave radiation, because I dislike the person I donate it to.",2574328453,harm,betrayal,revealsecret synset-leak-verb-1,2574328453,1,1,0
I dont like cop but watch Soverign Citizen video be so much fun to me.,1963595972,subversion,care,synset-bull-noun-5,1963595972,1,1,0
I dont think Aunt know I remember her molest me as a child.,1851331736,betrayal,fairness,regard,1851331736,1,1,0
"I don’t interact often with my sister because she sell Plexus, lipstick and other MLMs.",85139744,betrayal harm cheating,care,synset-lipstick-noun-1,85139744,3,1,0
I don’t tell my friend how tragic my father death really be.,3959887637,harm,harm,death synset-death-noun-1,3959887637,1,1,1
"I don’t think I’m an alcoholic, but sometimes I drink at work.",1773476122,cheating subversion,fairness,regard,1773476122,2,1,0
I don’t think it’s bad to say you aren’t attract to a certain race or ethnicity.,3755876772,harm betrayal subversion degradation cheating,fairness harm,synset-attract-verb-1 regard,3755876772,5,2,1
I don’t want to admit I have an eat disorder to anyone because I don’t want to be make to gain weight.,1009461008,harm,betrayal,revealsecret,1009461008,1,1,0
I don’t want to be a mother but I feel selfish for deprive my mum of grandchildren.,1135550255,harm,care,synset-mother-noun-1,1135550255,1,1,0
I drop a puppy off a building in a parachute it turn out badly.,3226998357,harm,care,synset-parachute-noun-1,3226998357,1,1,0
I drop a water jug and break it. I am so mad at myself I put a cigarette out on my skin.,590421493,harm subversion degradation,care harm,causeharm break_45010000 synset-skin-noun-1 synset-water-noun-1 experiencebodilyharm,590421493,3,2,1
I drop player from a team in a fantasy basketball league because I find he a rapist.,4052884911,harm,care loyalty harm,rape synset-raper-noun-1 synset-detect-verb-1 synset-team-noun-1,4052884911,1,3,1
I dump food on my girlfriend plate at a wedding until it is overflow.,1557469414,cheating degradation,care,synset-food-noun-1,1557469414,2,1,0
"I eavesdrop my aunt on the phone when on a share line, she think it is my dad.",1160911668,harm,fairness care,synset-telephone-noun-1 regard,1160911668,1,2,0
I embarrass my classmate in front of everyone and make her cry.,3792836315,harm,harm,synset-front-noun-1,3792836315,1,1,1
"I enable my sister's mistreatment of our elderly, abusive father until his death.",3245940157,harm,harm,death synset-death-noun-1,3245940157,1,1,1
I encourage my depressed son to go to college 1500 mile from home.,294393575,harm,loyalty,takingsides,294393575,1,1,0
I encourage my fiancé to begin introduce food to his child that their mother believe they are sensitive to and not tell her.,2047028775,harm,care loyalty,takingsides synset-food-noun-1 synset-mother-noun-1,2047028775,1,2,0
I end my friendship with a friend of almost 8 year and promise myself to never help him again.,883892624,betrayal,care,synset-help-verb-1 help_72000100 assistance,883892624,1,1,0
I enjoy make water allergy ''sufferers'' look like complete idiot and create shitposts so people won't take future ''sufferers'' seriously.,3096457849,harm,care,synset-water-noun-1,3096457849,1,1,0
I enjoy ruin a woman's reputation because she is a fraudster.,2859013672,harm cheating,harm,destroying synset-destroy-verb-2 ruin_44000000,2859013672,2,1,1
"I expect my parents, who want the isst for me, to understand my self destructive thought.",2714771617,harm,harm,synset-destructive-adjective-1 destroying,2714771617,1,1,1
I expose a girl nude to the entire school trigger a dominoe effect.,751048743,harm betrayal,betrayal,revealsecret,751048743,2,1,1
I fake my asthma in 3rd grade and my parent still don’t know.,3184400144,cheating,authority,synset-parent-noun-1,3184400144,1,1,0
I fall asleep to Bob Ross to prevent myself from self harm.,1838355723,harm,harm,synset-injury-noun-1,1838355723,1,1,1
I falsely accuse someone of take advantage of me and get the guy I love beat up.,2303794215,harm subversion,fairness harm,synset-advantage-noun-1 synset-beat-verb-1 partiality,2303794215,2,2,1
I feel a bit jealous of the adult celebrity victim in Hollywood.,3652851486,harm,harm,synset-victim-noun-1,3652851486,1,1,1
I feel hurt by my family ignore my abusive mother's treatment of me.,1245780119,harm,care,synset-mother-noun-1 synset-treatment-noun-1 cure,1245780119,1,1,0
I feel like I may be contribute to ruin my co-worker's life.,2000622857,harm,loyalty harm,destroying synset-destroy-verb-2 collaboration synset-colleague-noun-1 ruin_44000000,2000622857,1,2,1
I feel like a coward every time I walk past a person in need and don't help.,4093975111,harm,care,synset-help-verb-1 help_72000100 assistance,4093975111,1,1,0
I feel like all woman hate me and this belief be change me into a bad person.,213916338,harm,harm,synset-hate-verb-1 hate_31020100,213916338,1,1,1
I feel like it’s an accomplishment whenever I go to bed feeling hungry.,4173798194,harm,care,supply synset-bed-noun-1,4173798194,1,1,0
I feel reluctant to pay my friend's roommate for stay at their house for 2 night.,2920422655,betrayal harm,care,synset-house-noun-1,2920422655,2,1,0
"I feel so emotionally hurt by some people, that i just don't care anymore about anyone.",1665802109,harm,care harm,causeharm care_31030200 synset-ache-verb-3 hurt_40081000 experiencebodilyharm,1665802109,1,2,1
I feel suffocated. I am not in love with you. And i think I have to leave you. It will a tonne of courage. But I have to do it.,3359779538,harm,fairness,regard,3359779538,1,1,0
I felt myself get internally angry at scientific inaccuracy I find in a Tumblr post about the plague.,1589716166,harm betrayal,care,synset-detect-verb-1,1589716166,2,1,0
I fight a small kid my age for mock me of my social awkwardness.,3365738130,harm,harm,hostileencounter synset-contend-verb-6,3365738130,1,1,1
I fight tear more than people during physcial confrontation.,2620855939,harm,harm,hostileencounter synset-contend-verb-6,2620855939,1,1,1
I fight to have my friend that associate with an ememy of my roommate's over.,835787705,harm cheating,loyalty harm,collaboration hostileencounter synset-contend-verb-6 synset-associate-noun-1,835787705,2,2,1
I finally tell my parent about my struggle with depression.,2318407182,harm,authority harm,synset-struggle-noun-1 synset-parent-noun-1,2318407182,1,2,1
"I financially support my best friend, I lose my debit card and now hes move out.",2491227281,harm,loyalty harm,synset-lose-verb-1 takingsides attack lose_13020000,2491227281,1,2,1
I find CP on my grandparent computer but I never tell any one.,2820085219,cheating harm degradation,care,synset-computer-noun-1 synset-detect-verb-1,2820085219,3,1,0
"I find gaming, gamers, people who game really off putting..",1812141293,cheating,care,synset-detect-verb-1,1812141293,1,1,0
I find it ironic that this sub sometimes serve as my makeshift blog.,1304041666,harm,care,synset-detect-verb-1 assistance,1304041666,1,1,0
I find out a horrible thing about my friend and idk how to address it with her.,1628707862,betrayal,care,synset-detect-verb-1,1628707862,1,1,0
I find out my boyfriend make a post about a problem we have and he deny it.,4043446872,betrayal,care,synset-detect-verb-1,4043446872,1,1,0
I find out my pastor be a white supremacist during a church lock in.,1200429168,harm degradation,care oppression,synset-supremacist-noun-1 synset-detect-verb-1,1200429168,2,2,0
I find people who have the Darwin sign and science bumper sticker as ignorant as the fish bumper sticker for Jesus.,1629301178,harm,care harm,causeharm synset-detect-verb-1 synset-bumper-noun-2,1629301178,1,2,1
I find these comment about interracial relationship make towards my girlfriend and I a bit creepy.,232072210,harm,care,synset-detect-verb-1,232072210,1,1,0
I flip off an old woman with dementia to her face while she is garden.,1714100392,harm cheating,care,synset-garden-noun-1,1714100392,2,1,0
"I fool around with my best friend's brother, in her own house while she is there. And she doesn't know..",2554471570,harm betrayal,care,synset-house-noun-1,2554471570,2,1,0
I force myself to get tunnel vision with my eye half-closed and then i can see in my past:.,3828949048,harm,oppression,force_59000000,3828949048,1,1,0
"I forgive my dad's killer, take 5k from granddad, and try to take all my dad's money.",3929480512,cheating,harm,killing synset-killer-noun-1,3929480512,1,1,0
I frame my middle school bully and try to burn down another bully's house.,3870694115,harm,care harm,synset-house-noun-1 synset-burn-verb-1,3870694115,1,2,1
"I frequently like to make myself throw-up if I get full, or so I can eat more food.",3712031981,degradation,care,synset-food-noun-1,3712031981,1,1,0
I genuinely felt hurt when my friend say Rush be a terrible band.,178526027,cheating,harm,causeharm synset-ache-verb-3 hurt_40081000 experiencebodilyharm,178526027,1,1,0
"I get a massage with a happy ending, the hotel can check my full details, and I feel bad.",1797267089,harm,care,cure synset-massage-noun-1,1797267089,1,1,0
I get a massive sense of relief when I see my friend on Discord because that mean she is not out with others.,940844726,cheating,care,synset-relief-noun-1 cure,940844726,1,1,0
I get a whole family kick out of How To Train Your Dragon 3: The Hidden World.,409016932,betrayal,harm,causeharm kick_23020000,409016932,1,1,0
I get angry about the past to the point that I want to hit something.,1443960997,harm,harm,causeharm experiencebodilyharm,1443960997,1,1,1
I get angry at a video game and I punch my TV as hard as I could.,3441825169,harm,harm,causeharm synset-punch-verb-1 punch_18020000,3441825169,1,1,1
"I get angry that my first contact with my ex gf return to my city, be her ask to get access to drug for herself and a fuck buddy.",2668703122,harm,degradation care,synset-drug-noun-1,2668703122,1,2,0
I get everyone in my machine shop sick as payback to the bos.,2748388786,harm cheating,harm,revenge synset-vengeance-noun-1,2748388786,2,1,1
"I get high hoping I could confess my feelings, but I get scared.",3572504147,harm,betrayal,revealsecret,3572504147,1,1,0
I get in a fight with someone I didn't know in a public place with a situation that wasn't my concern.,504570882,harm degradation,harm,synset-fight-noun-2 hostileencounter,504570882,2,1,1
I get into a physical fight with my mom just now. I can't wait to go off to college.,3746241842,harm,harm,synset-fight-noun-2 hostileencounter,3746241842,1,1,1
"I get kick by the horse directly in the head, knock me down.",2089882861,harm,care harm,synset-knock-verb-1 causeharm synset-horse-noun-1 assistance,2089882861,1,2,1
I get mad and ignore my girlfriend with narcissistic parent for twist word.,132783040,harm betrayal,authority,synset-parent-noun-1,132783040,2,1,0
I get mad over gf and friend put sticky note all over my car in the middle of our college parking lot.,899621949,harm,loyalty,synset-batch-noun-2,899621949,1,1,0
"I get my computer back today, after be ground for half a year.",2981369287,harm subversion,care,synset-computer-noun-1,2981369287,2,1,0
I get my first mobile phone at 18 because I keep lose my mum in the supermarket and panicking.,208544054,harm,care oppression,synset-telephone-noun-1 synset-keep-verb-1,208544054,1,2,0
I get piss at someone not allow me to follow their car into a gate community.,795352013,harm cheating,care loyalty,supply synset-community-noun-1 synset-gate-noun-1,795352013,2,2,0
I get upset about other family member complete a jigsaw puzzle.,3766163273,harm betrayal,care loyalty,synset-member-noun-1 synset-puzzle-noun-2,3766163273,2,2,0
I get upset my mother want to sell her house right after I move in.,826611669,cheating,care,synset-house-noun-1 synset-mother-noun-1,826611669,1,1,0
I get upset with my gf when she say a real man would be able to find the car.,346823321,harm betrayal,care,synset-detect-verb-1,346823321,2,1,0
I get upset with my mother for not be respectful during church.,3655800604,harm subversion degradation,care,synset-mother-noun-1,3655800604,3,1,0
I ghosting/ignoring my sister after she reveal a secret of mine to our parent.,1912740992,harm betrayal,authority betrayal,synset-parent-noun-1 revealsecret,1912740992,2,2,1
I give the bad flavour candy to customer I don’t like and the isst flavour one to customer I do when serve the bill.,163719952,harm,care,assistance,163719952,1,1,0
I go into the work bathroom to take little 10 to 20 minute power naps when I am fall asleep on the desk.,1744643068,subversion,authority care,synset-power-noun-1 synset-bathroom-noun-1,1744643068,1,2,0
"I go off on my Sister in Law, who struggle with mental illness and drug addiction.",2704416083,harm degradation,degradation care harm,synset-fight-verb-3 synset-drug-noun-1,2704416083,2,3,2
I go to a party at the house of some random dude I don't know and I end pee all over his bed.,3504086941,degradation,care,synset-house-noun-1 supply synset-bed-noun-1,3504086941,1,1,0
"I go to a therapist just so I can lie to her, I make up an entire fake life story full of fake problem and she waste her time help me with them.",50475557,cheating,cheating care,synset-therapist-noun-1 synset-bogus-adjectivesatellite-1 assistance help_72000100 synset-help-verb-1 cure,50475557,1,2,1
I go to bed every night not expect to wake up in the morning.,2482181533,degradation,care,supply synset-bed-noun-1,2482181533,1,1,0
I go to extra length to hold door open for old men to spite my entitle mother even though she is in another state.,629811489,harm,care harm oppression,causeharm synset-malice-noun-1 synset-mother-noun-1 synset-keep-verb-1,629811489,1,3,1
I go to my friend’s sleepover when I am 13 and basically force my family to pick me up.,2971475934,betrayal subversion,oppression,synset-coerce-verb-1 force_59000000,2971475934,2,1,0
"I go to the ER, pretend to be sick, to get a doctor note for work.",3606058582,cheating betrayal,care,synset-doctor-noun-1,3606058582,2,1,0
"I go without eat for most of the day, then binge on the most unhealthy food, and over-eat to the point of discomfort.",2327783892,harm degradation,care,synset-food-noun-1,2327783892,2,1,0
I graduate university a year ago but I still wake up with panic attack think I have assessment due.,4284097479,degradation,fairness harm,synset-panic-noun-1 attack synset-attack-noun-1 regard,4284097479,1,2,0
I grow up think my dad be an alcoholic womanizer and now I see his situation in a whole new light.,2988712659,harm,fairness,regard,2988712659,1,1,0
I hang out with office colleague instead of go out with girlfriend.,901126260,betrayal,loyalty,collaboration synset-colleague-noun-1,901126260,1,1,0
I hang out with some drug dealer yell at college kid and I enjoy it.,1047730137,harm,degradation care,synset-drug-noun-1,1047730137,1,2,0
I hate an artist on Patreon and wish they would financially suffer.,758782078,harm subversion,harm,suffer_31020000 catastrophe synset-hate-verb-1 synset-suffer-verb-2 hate_31020100,758782078,2,1,1
